2026-04-06 20:53:59 | ERROR    | __main__:183 | [15M] 循环异常: 'dict' object has no attribute 'wait'
2026-04-06 20:54:00 | ERROR    | __main__:263 | [1M] 循环异常: 'dict' object has no attribute 'wait'
2026-04-06 20:54:02 | ERROR    | __main__:263 | [1M] 循环异常: 'dict' object has no attribute 'wait'
2026-04-06 20:58:14 | ERROR    | __main__:183 | [15M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:58:14 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:58:16 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:58:18 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:58:19 | ERROR    | __main__:183 | [15M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:58:20 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:58:21 | ERROR    | core.data_feed:160 | [WS] B 15m 历史初始化全部失败
2026-04-06 20:58:22 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:58:24 | ERROR    | __main__:183 | [15M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:58:24 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:58:26 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:39 | ERROR    | __main__:183 | [15M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:39 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:41 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:43 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:44 | ERROR    | __main__:183 | [15M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:45 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:46 | ERROR    | core.data_feed:160 | [WS] B 15m 历史初始化全部失败
2026-04-06 20:59:47 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:49 | ERROR    | __main__:183 | [15M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:49 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:51 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 20:59:53 | ERROR    | core.data_feed:160 | [WS] B 1m 历史初始化全部失败
2026-04-06 20:59:53 | ERROR    | __main__:263 | [1M] 循环异常: 'BTC/USDT:USDT'
2026-04-06 21:05:43 | ERROR    | __main__:183 | [15M] 循环异常: 'dict' object has no attribute 'wait'
2026-04-06 21:05:43 | ERROR    | __main__:263 | [1M] 循环异常: 'dict' object has no attribute 'wait'
2026-04-06 21:05:45 | ERROR    | __main__:263 | [1M] 循环异常: 'dict' object has no attribute 'wait'
2026-04-06 21:05:47 | ERROR    | __main__:263 | [1M] 循环异常: 'dict' object has no attribute 'wait'
2026-04-06 21:05:48 | ERROR    | __main__:183 | [15M] 循环异常: 'dict' object has no attribute 'wait'
2026-04-06 21:05:49 | ERROR    | __main__:263 | [1M] 循环异常: 'dict' object has no attribute 'wait'
2026-04-06 21:05:51 | ERROR    | __main__:263 | [1M] 循环异常: 'dict' object has no attribute 'wait'
